,id,srm,hex
477,o5ab01,,
478,nx1aBh,,
479,QGkOL8,,
480,2aTCUZ,,
481,euC0e0,,
482,AaxkVm,,
483,8TzJ6d,,
484,fU18H6,,
485,all1eZ,,
486,ch2CVT,,
487,O8BTtG,,
488,vWHJ4k,,
489,jCvTIm,13.0,CB6200
490,qO0ljk,,
491,8fgZes,,
492,5XPvxQ,,
493,OU65MO,,
494,cH33Tc,,
495,8rao3Y,,
496,Q9qzJz,,
497,XiOfvH,8.0,EA8F00
498,OEmmJW,,
499,NVjAxZ,,
500,CEFrdz,,
501,gIY44g,,
502,MvQGZl,,
503,PJnYVp,,
504,BMfoqw,,
505,EpoLle,,
506,CcC2Z1,,
507,0oIgGX,,
508,Sc4ZHj,,
509,oCkovR,,
510,ryrGks,,
511,02Ne4w,,
512,2DLUIM,,
513,YmdYlz,,
514,u3ZtB4,,
515,BxaL5R,,
516,rpxZyR,,
517,s9lMGu,,
518,K2Wmz1,,
519,fPh3Ui,,
520,8yiSbk,,
521,wLNANU,,
522,Lx4drY,9.0,E58500
523,TuuitY,,
524,1LCW09,,
525,MWSY7A,,
526,q1b5pI,,
527,39kgJ7,,
528,2Znja2,,
529,I9P0g0,,
530,ij7Jvr,,
531,xMYwEj,,
532,Bw8ypJ,,
533,vHT4TC,,
534,mhZDXS,,
535,PmghkY,,
536,GEfTde,,
537,nr5kfy,,
538,Nvjbg2,,
539,NSt1oX,,
540,wYhTLg,,
541,Kqhe9Z,,
542,eOxmhZ,,
543,fGcyF4,,
544,GDfKl0,,
545,rAUjQV,,
546,CYlgED,,
547,fSYUKM,,
548,d5bGxo,,
549,x4S3Q3,,
550,6ERqtA,,
551,8UAzGS,4.0,FFBF42
552,HeStKS,,
553,lBH2pl,,
554,RTwp27,,
555,Xqfa8i,,
556,ViWbNi,,
557,f2l1SK,,
558,N4Iffa,,
559,DjNUzp,,
560,j2NSPm,,
561,R0KLp1,,
562,55zQfR,,
563,nh1WXg,,
564,mgm2VF,,
565,t1t2sV,,
566,MQ0MTV,,
567,WWO4Gl,,
568,TyiRY0,,
569,Gw2BVo,,
570,wb3pk0,,
571,Ia8lMq,,
572,GlY1ge,,
573,pwaGRl,,
574,HxUmHK,,
575,07qyWZ,10.0,DE7C00
576,Y4JHOP,,
577,3BweEE,,
578,hwiUzY,,
579,EG0VpA,,
580,1PFlsG,,
581,Whr5Hx,,
582,FwSANu,,
583,IfdNV5,4.0,FFBF42
584,mI2ZZh,,
585,EYdklm,,
586,XooIBi,,
587,covkPG,,
588,CsakDI,,
589,8n537L,,
590,t9LNOo,,
591,es2c67,,
592,CDJZpB,,
593,8APmLD,,
594,NKT7mo,,
595,wmmNyr,,
596,dw7Cq4,12.0,CF6900
597,gKhScZ,,
598,k7CYSG,,
599,EHDcYF,,
600,77Diig,,
601,5hHCFH,,
602,zJDcHv,,
603,4iqQmc,,
604,nSU6qP,,
605,5HfPX4,,
606,opD7r8,,
607,FEcxRe,,
608,YfUcXB,,
609,3J6s9e,,
610,c8Bw4P,8.0,EA8F00
611,IPu8lL,,
612,hlRA8B,,
613,Vpi6zk,,
614,Q9cjmw,,
615,QmgeZK,,
616,motpw5,,
617,xdkovD,,
618,YlwoAq,,
619,myhFA6,,
620,CWQbWV,,
621,KQqKDh,,
622,4NA4qX,,
623,h2ZEw3,,
624,RSkzze,,
625,PEYTbF,,
626,Rwm7D0,,
627,b4MyuZ,,
628,AuGSMv,,
629,mllaCA,,
630,7WkMgR,,
631,3Xd0AJ,,
632,wDtYAZ,,
633,N50hxL,,
634,5PXfkF,,
635,0mKxsT,,
636,oh5KQI,,
637,bTR7oE,9.0,E58500
638,Cgw32H,,
639,6FYXBB,,
640,mTUIuH,,
641,50XNuQ,,
642,SOTRPG,,
643,NeppaR,,
644,epvmvS,,
645,jmgjs2,,
646,eFi1I6,,
647,Sh2pI2,,
648,nPumbe,,
649,u9Ntao,,
650,vIgBCH,,
651,yXVXwl,,
652,655f2d,,
653,pJ3qbH,,
654,wxW51g,7.0,F39C00
655,9D1cly,8.0,EA8F00
656,j1hzVF,,
657,zrN87q,,
658,0wqPOF,,
659,ugkEOW,,
660,n3GrA9,,
661,OyO1U1,,
662,zkjGKM,,
663,FcH1ln,25.0,7B1A00
664,Np1soi,,
665,Fryyov,,
666,c3UUyN,,
667,nkCLep,8.0,EA8F00
668,bhmrLg,,
669,QUdcoU,,
670,1UXQA4,,
671,Oxwo6X,,
672,QWGfER,,
